Product,Model,Period,Avg_Quantity_Pred,RMSE,R2,MAE,SMAPE,Avg_Quantity_Real
ACDF51000005,XGBoost,Forecast,10.734005851130332,,,,,0.0
ACDF51000005,LightGBM,Holdout,2.962514421343591,,,,,0.0
ACDF51000005,LightGBM,Forecast,15.858803520138778,,,,,0.0
ACDF51000005,CatBoost,Holdout,4.36349740899033,,,,,0.0
ACDF51000005,CatBoost,Forecast,10.221144517339619,,,,,0.0
ACDF51000005,Ensemble,Holdout,3.0616159438337194,,,,,0.0
ACDF51000005,Ensemble,Forecast,9.203488472152182,,,,,0.0
BBDF20200005,Prophet,Holdout,5.094095930669077,,,,,0.0
BBDF20200005,Prophet,Forecast,0.9612093496530012,,,,,0.0
BBDF20200005,XGBoost,Holdout,4.985404651243608,,,,,0.0
BBDF20200005,XGBoost,Forecast,5.066121578216553,,,,,0.0
